route_id,service_id,start_time,end_time,headway_secs
6,D,13:30:00,18:30:00,1500
6,D,18:30:00,21:30:00,960
6,D,21:30:00,22:30:00,1500
6,D,22:30:00,25:00:00,1800
7,H,05:00:00,06:00:00,1800
7,H,06:00:00,08:30:00,1380
7,H,08:30:00,12:00:00,1800
7,H,12:00:00,13:30:00,1380
7,H,13:30:00,18:30:00,1800
7,H,18:30:00,21:30:00,1380
7,H,21:30:00,22:30:00,1800
7,H,22:30:00,25:00:00,2700
7,S,05:00:00,06:00:00,1800
7,S,06:00:00,08:30:00,1380
7,S,08:30:00,12:00:00,1800
7,S,12:00:00,13:30:00,1380
7,S,13:30:00,18:30:00,1800
7,S,18:30:00,21:30:00,1380
7,S,21:30:00,22:30:00,1800
7,S,22:30:00,25:00:00,2700
7,D,05:00:00,06:00:00,1800
7,D,06:00:00,08:30:00,1380
7,D,08:30:00,12:00:00,1800
7,D,12:00:00,13:30:00,1380
7,D,13:30:00,18:30:00,1800
7,D,18:30:00,21:30:00,1380
7,D,21:30:00,22:30:00,1800
7,D,22:30:00,25:00:00,2700
8,H,05:00:00,06:00:00,1800
8,H,06:00:00,08:30:00,1320
8,H,08:30:00,12:00:00,1800
8,H,12:00:00,13:30:00,1320
8,H,13:30:00,18:30:00,1800
8,H,18:30:00,21:30:00,1320
8,H,21:30:00,22:30:00,1800
8,H,22:30:00,25:00:00,2700
8,S,05:00:00,06:00:00,1800
8,S,06:00:00,08:30:00,1320
8,S,08:30:00,12:00:00,1800
8,S,12:00:00,13:30:00,1320
8,S,13:30:00,18:30:00,1800
8,S,18:30:00,21:30:00,1320
8,S,21:30:00,22:30:00,1800
8,S,22:30:00,25:00:00,2700
8,D,05:00:00,06:00:00,1800
8,D,06:00:00,08:30:00,1320
8,D,08:30:00,12:00:00,1800
8,D,12:00:00,13:30:00,1320
8,D,13:30:00,18:30:00,1800
8,D,18:30:00,21:30:00,1320
8,D,21:30:00,22:30:00,1800
8,D,22:30:00,25:00:00,2700
9,H,01:00:00,05:00:00,7200
9,H,05:00:00,06:00:00,1200
9,H,06:00:00,08:30:00,900
9,H,08:30:00,12:00:00,1200
9,H,12:00:00,13:30:00,900
9,H,13:30:00,18:30:00,1200
9,H,18:30:00,21:30:00,900
9,H,21:30:00,22:30:00,1200
9,H,22:30:00,25:00:00,1800
9,S,01:00:00,05:00:00,7200
9,S,05:00:00,06:00:00,1200
