stop_id,stop_code,stop_desc,stop_name,stop_lat,stop_lon,stop_calle,stop_numero,stop_entre,stop_esquina
8522,C8522,,Usuahua 2600,-31.481551922,-64.2425312573,Usuahua 2600,,,Esq. Cholutega
8523,C8523,,Usuahia 2750,-31.4815374046,-64.244455294,Usuahia 2750,,,Entre Fernandina Y Tikal
8524,C8524,,Usuahia 2950,-31.4815452777,-64.2481152822,Usuahia 2950,,,Esq. Beliche
8525,C8525,,Usuahia 3120,-31.4815132697,-64.2497141661,Usuahia 3120,,,Entre Masaya Y Pasaje Sin Nombre
8526,C8526,,Usuahia 3300,-31.4815473649,-64.2532727806,Usuahia 3300,,,Esq. Nantes
8527,C8527,,Nantes S/N,-31.4808348283,-64.2534511999,Nantes S/N,,,Entre Cherburgo Y Usuahia
8528,C8528,,Avignon S/N,-31.4811253102,-64.2547112988,Avignon S/N,,,Entre Versalles Y Usuahia 
8529,C8529,,Atlantida 2200,-31.477779698,-64.2453211389,Atlantida 2200,,,Entre Curazao Y Barbados Regreso
8530,C8530,,Atlantida S/N,-31.4773044525,-64.2468305496,Atlantida S/N,,,Esq. Publica Regreso
8531,C8531,,Calle Publica Mz. 22 Lote 6,-31.4761132304,-64.2471376752,Calle Publica Mz. 22 Lote 6,,,Entre Publica Y Publica
8532,C8532,,America Central 2732,-31.4756749579,-64.245099406,America Central 2732,,,Esq. Publica Regreso
8533,C8533,,America Central S/N,-31.476141481,-64.2430428312,America Central S/N,,,Esq. Curazao
8534,C8534,,Av Curazao 2350,-31.4749524936,-64.2411455169,Av Curazao 2350,,,Esq. Luis Orione Regreso
8535,C8535,,Calle 1 S/N,-31.4871895357,-64.2406634736,Calle 1 S/N,,,Primer Parada
8536,C8536,,Calle Principal S/N,-31.4862024666,-64.2416885976,Calle Principal S/N,,,Entre Calle 1 Y Calle 2
8537,C8537,,Calle Principal S/N,-31.4862109836,-64.2432093517,Calle Principal S/N,,,Esq. Calle 2
8538,C8538,,Av Armada Argentina 3400,-31.4858307972,-64.2457554646,Av Armada Argentina 3400,,,Ingreso Ucc
8539,C8539,,Av Armada Argentina 3027,-31.4845108219,-64.2444120655,Av Armada Argentina 3027,,,Esq. Cipoletti
8540,C8540,,Av Armada Argentina 2711,-31.4818152549,-64.2416340092,Av Armada Argentina 2711,,,Esq. Usuahia
8541,C8541,,Av Armada Argentina 2300,-31.4770106391,-64.2358265526,Av Armada Argentina 2300,,,Esq. Yocsina
