agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
1,Ciudad de Córdoba,http://www.ccbasacif.com.ar,America/Argentina/Cordoba,es,+54 351 4644242
2,Coniferal,http://www.coniferalsacif.com.ar,America/Argentina/Cordoba,es,+54 351 4845552 
3,Ersa,http://www.ersaurbano.com/,America/Argentina/Cordoba,es,
4,Autobuses Santa Fe,http://www.autobusessantafe.com.ar/,America/Argentina/Cordoba,es,
5,TAMSE Trolebuses,http://www.tam-se.com.ar/,America/Argentina/Cordoba,es,+54 351 4784909
