"trip_id","start_time","end_time","headway_secs","exact_times"
"62.reg","08:00:00","23:00:00","900","0"
"63.ida","08:00:00","23:00:00","900","0"
"63.reg","08:00:00","23:00:00","900","0"
"64.ida","08:00:00","23:00:00","900","0"
"64.reg","08:00:00","23:00:00","900","0"
"65.ida","08:00:00","23:00:00","900","0"
"65.reg","08:00:00","23:00:00","900","0"
"66.ida","08:00:00","23:00:00","900","0"
"66.reg","08:00:00","23:00:00","900","0"
"67.ida","08:00:00","23:00:00","900","0"
"67.reg","08:00:00","23:00:00","900","0"
"68.ida","08:00:00","23:00:00","900","0"
"68.reg","08:00:00","23:00:00","900","0"
"70.ida","08:00:00","23:00:00","900","0"
"70.reg","08:00:00","23:00:00","900","0"
"71.ida","08:00:00","23:00:00","900","0"
"71.reg","08:00:00","23:00:00","900","0"
"72.ida","08:00:00","23:00:00","900","0"
"72.reg","08:00:00","23:00:00","900","0"
"73.ida","08:00:00","23:00:00","900","0"
"73.reg","08:00:00","23:00:00","900","0"
"74.ida","08:00:00","23:00:00","900","0"
"74.reg","08:00:00","23:00:00","900","0"
"75.ida","08:00:00","23:00:00","900","0"
"75.reg","08:00:00","23:00:00","900","0"
"80.ida","08:00:00","23:00:00","900","0"
"80.reg","08:00:00","23:00:00","900","0"
"81.ida","08:00:00","23:00:00","900","0"
"81.reg","08:00:00","23:00:00","900","0"
"82.ida","08:00:00","23:00:00","900","0"
"82.reg","08:00:00","23:00:00","900","0"
"83.ida","08:00:00","23:00:00","900","0"
"83.reg","08:00:00","23:00:00","900","0"
"84.ida","08:00:00","23:00:00","900","0"
"84.reg","08:00:00","23:00:00","900","0"
"b20.ida","08:00:00","23:00:00","900","0"
"b20.reg","08:00:00","23:00:00","900","0"
"b30.ida","08:00:00","23:00:00","900","0"
"b30.reg","08:00:00","23:00:00","900","0"
"b50.ida","08:00:00","23:00:00","900","0"
"b50.reg","08:00:00","23:00:00","900","0"
"b60.ida","08:00:00","23:00:00","900","0"
"b60.reg","08:00:00","23:00:00","900","0"
"b61.ida","08:00:00","23:00:00","900","0"
"b61.reg","08:00:00","23:00:00","900","0"
"b70.ida","08:00:00","23:00:00","900","0"
"b70.reg","08:00:00","23:00:00","900","0"
"b80.ida","08:00:00","23:00:00","900","0"
"b80.reg","08:00:00","23:00:00","900","0"
"d10.ida","08:00:00","23:00:00","900","0"
"d10.reg","08:00:00","23:00:00","900","0"
"d20.ida","08:00:00","23:00:00","900","0"
"d20.reg","08:00:00","23:00:00","900","0"
"d30.ida","08:00:00","23:00:00","900","0"
"d30.reg","08:00:00","23:00:00","900","0"
"d50.ida","08:00:00","23:00:00","900","0"
"d50.reg","08:00:00","23:00:00","900","0"
"d80.ida","08:00:00","23:00:00","900","0"
"d80.reg","08:00:00","23:00:00","900","0"
